Provider Name,Zip Code,Service Area,Service Area (SA),Provider Classification,Programs/Services,Age Group Served,Language/Cultures,Operation,Phone Number,Location 1
SSG TESSIE CLEVELAND CSC,90001,6,SA 6 South,OUTPATIENT,"FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"BENGALI, ENGLISH, FARSI, KOREAN, PUNJABI, Q'ANJOB'AL, SPANISH, TAGALOG, URDU",NGA,(323) 586-7333,"8019 SOUTH COMPTON AVE.
LOS ANGELES, California 90001
(33.966374941000026, -118.24770828799996)"
HOLLYGROVE,90262,6,SA 6 South,OUTPATIENT,"FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARABIC, ENGLISH, HEBREW, IIOCANO, KOREAN, POLISH, SPANISH, TAGALOG",NGA,(323) 769-7174,"3737 MARTIN LUTHER KING JR. BLVD.
LYNWOOD, California 90262
(33.92840632200006, -118.20022761599995)"
KEDREN COMMUNITY MENTAL HEALTH CLINIC,90018,6,SA 6 South,OUTPATIENT,"DAY TREATMENT INTENSIVE, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ENGLISH, HINDI, JAPANESE, RUSSIAN, SPANISH, TAGALOG",NGA,(323) 233-0425,"2160 WEST ADAMS BLVD.
LOS ANGELES, California 90018
(34.03263366900006, -118.31383914699995)"
SOUTH CENTRAL HEALTH & REHABILITATION PROGRAM,90008,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",NGA,(323) 596 - 2480; FAX (323) 596 - 2487,"3741 STOCKER ST. STE.207
LOS ANGELES, California 90008
(34.00616575500004, -118.33856135299999)"
CHILDREN'S INSTITUTE INC.,90002,6,SA 6 South,OUTPATIENT,"DAY TREATMENT INTENSIVE, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, FRENCH, JAPANESE, KOREAN, MANDARIN, SPANISH, TAGALOG",NGA,(310) 783-4677,"10221 SOUTH COMPTON AVE. STE. 203
LOS ANGELES, California 90002
(33.943580721000046, -118.24624283799994)"
THE VILLAGE FAMILY SERVICES,91606,2,SA 2 San Fernando Valley,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"ENGLISH, FARSI, KOREAN, RUSSIAN, SPANISH",NGA,(818) 755-8786,"6736 LAUREL CANYON BLVD. STE. 200
NORTH HOLLYWOOD, California 91606
(34.19327097200005, -118.39648655999997)"
ASIAN PACIFIC-SFV,91406,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SERVICES, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT/CHILD/OLDER ADULT/TAY,"CAMBODIAN, ENGLISH, JAPANESE, KOREAN, SPANISH, VIETNAMESE",NGA,(818) 267-1100,"15400 SHERMAN WAY STE. 220
VAN NUYS, California 91406
(34.201092661000075, -118.46823914799995)"
AVIVA FAMILY AND CHILDREN'S SERVICES,91601,2,SA 2 San Fernando Valley,OUTPATIENT,"MENTAL HEALTH SERVICES, PCIT, WRAPAROUND SERVICES",CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH, FARSI, FRENCH, KOREAN, RUSSIAN, SPANISH, SWATOWESE, TAGALOG",NGA,(818) 980-3200,"5200 LANKERSHIM BLVD. STE. 170
NORTH HOLLYWOOD, California 91601
(34.16550674100006, -118.37496193499999)"
PERSONAL INVOLVEMENT CENTER,90003,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(323) 778-0488,"8220 SOUTH SAN PEDRO ST.
LOS ANGELES, California 90003
(33.96437875600003, -118.269503569)"
MULTISERVICE FAMILY CENTER,90305,6,SA 6 South,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZE FOSTER CARE",ADULT/CHILD/TAY,"ENGLISH, RUSSIAN, SPANISH",FFS,(310) 412-0202,"101 NORTH LA BREA AVE. STE. 301
INGLEWOOD, California 90305
(33.96306316700003, -118.35341001999996)"
SHIELDS FOR FAMILIES,90059,6,SA 6 South,OUTPATIENT,"DAY TREATMENT INTENSIVE, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 668-8311,"12021 SOUTH WILMINGTON AVE.
LOS ANGELES, California 90059
(33.92355060600005, -118.23918280799995)"
CHILDREN'S INSTITUTE INC.,90005,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HINDI, ITALIAN, KOREAN, MANDARIN, OTHER CHINESE, PORTUGESE, SERBO-CROATIAN,  SPANISH,  SWAHILLI, TAGALOG,  URDU",NGA,(213) 385-5100,"679 NEW HAMPSHIRE AVE. STE. 300
LOS ANGELES, California 90005
(34.06075049700007, -118.29292292699995)"
PC PORTALS MARIPOSA CLUBHOUSE,90010,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, WELLNESS CENTER",ADULT,"ARMENIAN, CZECH, ENGLISH, FARSI, FRENCH, GERMAN, HEBREW, ITALIAN, MANDARIN, POLISH, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE, YORUBA",NGA,(213) 639-2600,"2500 WILSHIRE BLVD. #704
LOS ANGELES, California 90010
(34.060114181000074, -118.280648483)"
EL DORADO-VENICE,90291,5,SA 5 West,OUTPATIENT,"MENTAL HEALTH SERVICES, MEDICATION SUPPORT, PSYCHOLOGICAL TESTING",ADULT,ENGLISH,NGA,(310) 664-6388,"2014 LINCOLN BLVD.
VENICE, California 90291
(33.99543471000004, -118.45555004799996)"
AVIVA FAMILY AND CHILDREN'S SERVICES,90046,4,SA 4 Metro,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH, FARSI, FRENCH, KOREAN, RUSSIAN, SPANISH, SWATOWESE, TAGALOG",NGA,(213) 637-5000,"7120 FRANKLIN AVE.
HOLLYWOOD, California 90046
(34.103864273000056, -118.34546928199995)"
GATEWAYS HOMELESS SERVICE,90004,4,SA 4 Metro,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ARABIC, CREOLE, ENGLISH, GERMAN, KOREAN, POLISH, SPANISH, TAGALOG, VIETNAMESE",NGA,(323) 644-2026,"340 N. MADISON
LOS ANGELES, California 90004
(34.077580725000075, -118.28914574699996)"
SAN FERNANDO VALLEY CMHC-TBS,91401,2,SA 2 San Fernando Valley,THERAPEUTIC BEHAVIORAL SERVICES,THERAPEUTIC BEHAVIORAL SERVICE,CHILD/TAY,"ENGLISH, IBO, MANDARIN, RUSSIAN, SPANISH, VIETNAMESE",NGA,(818) 909-3380,"6305 WOODMAN AVE.
VAN NUYS, California 91401
(34.18498145600006, -118.43130275499999)"
SAN FERNANDO MHS FSP PROGRAM,91344,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ARMENIAN, ENGLISH, GREEK, KOREAN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",DMH,(818) 488-3837,"10515 BALBOA BLVD. STE. 260, 376
GRANADA HILLS, California 91344
(34.26175108000007, -118.50232249199996)"
SPECIAL SERVICES FOR GROUPS (SSG),90007,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, DAY REHABILITATION, DAY TREATMENT INTENSIVE, FIELD CAPABLE CLINICAL SERVICES, LIFE SUPPORT, MEDICATION SUPPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",CHILD/TAY,"CANTONESE, ENGLISH, FRENCH, KOREAN, LINGALA, MANDARIN, TAGALOG, VIETNAMESE",NGA,(323) 731-3534,"1665 WEST ADAMS BLVD.
LOS ANGELES, California 90007
(34.03276848500008, -118.29944023299998)"
WATTS LABOR COMMUNITY ACTION COMMITTEE,90059,6,SA 6 South,RESIDENTIAL,"CASE MANAGEMENT, LONG TERM, SUPPORTIVE LIVING",ADULT,ENGLISH,NGA,(323) 563-5639,"10950 SOUTH CENTRAL AVE.
LOS ANGELES, California 90059
(33.93578063100006, -118.25417415099997)"
SAN FERNANDO MENTAL HEALTH CENTER,91344,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FCCS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH, FRENCH, GREEK, HEBREW, JAPANESE, KOREAN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",DMH,(818) 832-2400,"10605 BALBOA BLVD. STE. 100
GRANADA HILLS, California 91344
(34.262680971000066, -118.50231212199998)"
EL CENTRO DE AMISTAD,91303,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ASSYRIAN, ENGLISH, FARSI, INDONESIAN, SPANISH",NGA,(818) 347-8565 /FAX (818) 347-0506,"7038 OWENSMOUTH
CANOGA PARK, California 91303
(34.19849080800003, -118.60152588999995)"
NEW DIRECTIONS INCORPORATED,90073,5,SA 5 West,CLIENT SUPPORTIVE SERVICES,CLIENT SUPPORTIVE SERVICES,ADULT,ENGLISH,NGA,(310) 914-4045,"11303 WILSHIRE BLVD. VA BUILDING 116
LOS ANGELES, California 90073
(34.052373018000026, -118.45845080099997)"
BARBOUR & FLOYD MEDICAL ASSOCIATES,90262,6,SA 6 South,OUTPATIENT,"COMMUNITY OUTREACH, CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",ADULT/OLDER ADULT,"ENGLISH, SPANISH",NGA,(310) 639-5983 ; (424) 213 - 1150; FAX (310) 639 - 5870; (424) 213 - 1158,"2640 INDUSTRY WAY
LYNWOOD, California 90262
(33.923527715000034, -118.22720719399996)"
THE GUIDANCE CENTER SOCIETY,90220,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, COMMUNITY SUPPORT, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, MEDICATION SUPPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 669-9510,"901 WEST VICTORIA ST. STE. F &amp; G
COMPTON, California 90220
(33.885730876000025, -118.23452680099996)"
THE STAR VIEW COMMUNITY SERVICES,90220,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,ENGLISH,NGA,(310) 868-5379 ; FAX: (310) 868 - 5398,"1303 W. WALNUT PARKWAY
COMPTON, California 90220
(33.87725768400003, -118.24471030399997)"
SHIELDS FOR FAMILIES,90262,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES, MEDICATION SUPPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/TAY,"ENGLISH, SPANISH",NGA,(323) 242-5000,"2620 INDUSTRY WAY STE. A
LYNWOOD, California 90262
(33.923663530000056, -118.22487607699998)"
SOUTH CENTRAL HEALTH & REHAB PROGRAM - OASIS HOUSE,90037,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FCCS, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, WELLNESS CENTER",ADULT,"ENGLISH, SPANISH",NGA,(323) 751-2677 ; FAX (323) 751 - 0064,"5201 SOUTH VERMONT AVE.
LOS ANGELES, California 90037
(33.994920637000064, -118.29155286399998)"
KAISER PERMANENTE MENTAL HEALTH CENTER,90012,4,SA 4 Metro,INPATIENT,24 HR ACUTE,ADULT,ENGLISH,FFS,(213) 580-7372,"765 WEST COLLEGE ST.
LOS ANGELES, California 90012
(34.06603716600006, -118.24318007299996)"
CRITTENTON CHILD FAMILY,90221,6,SA 6 South,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"CANTONESE, ENGLISH, FRENCH, GERMAN, HINDI, HUNGARIAN, KOREAN, LOA, MANDARIN, ROMANIAN, SINGHALESE, SPANISH, TELUGU, THAI, VIETNAMESE",NGA,(310) 631-0793,"2939 EAST PACIFIC COMMERCE DR.
COMPTON, California 90221
(33.84970991300003, -118.20778918999997)"
SAN FERNANDO VALLEY CMHC-TRANSITIONAL YOUTH,91405,2,SA 2 San Fernando Valley,OUTPATIENT,"FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PEI, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, ENGLISH, FRENCH, RUSSIAN, SPANISH",NGA,(818) 901- 4854,"14535 SHERMAN CIRCLE
VAN NUYS, California 91405
(34.20012890000004, -118.44964957499997)"
CHILD & FAMILY CENTER,91321,2,SA 2 San Fernando Valley,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SCHOOL-BASED SERVICES, FCCS, ADULT SERVICES, DOMESTIC VIOLENCE TREATMENT",ADULT/CHILD/TAY,"CANTONESE, CZECH, ENGLISH, GERMAN, HEBREW, ITALIAN, MANDARIN, SPANISH",NGA,(661) 286-2550,"23504 LYONS AVE. STE. 204
NEWHALL, California 91321
(34.37943861900004, -118.54504421799999)"
OLIVE VIEW COMMUNITY MH URGENT CARE CENTER,91342,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH, FARSI, GREEK, KURDIS, SPANISH, TAGALOG",DMH,(818) 485-0888,"14659 OLIVE VIEW DR.
SYLMAR, California 91342
(34.32462094400006, -118.45963394199998)"
HENRY MAYO NEWHALL HOSPITAL,91355,2,SA 2 San Fernando Valley,INPATIENT,24 HR ACUTE,ADULT,ENGLISH,FFS,(661) 253-8000,"23845 WEST MCBEAN PKWY.
SANTA CLARITA, California 91355
(34.395446882000044, -118.55476053299998)"
HATHAWAY SYCAMORES CHILD & FAMILY SERVICES,91331,2,SA 2 San Fernando Valley,OUTPATIENT,"DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, BULGARIAN, CANTONESE, ENGLISH, FRENCH, HEBREW, HUNGARIAN, MANDARIN, ROMANIAN, RUSSIAN, SERBO-CROATIAN, SPANISH, SWATOWESE, VIETNAMESE",NGA,(818) 896-8366,"12450 VAN NUYS BLVD.
PACOIMA, California 91331
(34.27898691100006, -118.404381995)"
PENNY LANE CENTERS,91342,2,SA 2 San Fernando Valley,JUVENILE JUSTICE,MENTAL HEALTH SERVICES,CHILD/TAY,ENGLISH,NGA,818-755-4950/ fax 818-752-0783,"16350 FILBERT ST.
SYLMAR, California 91342
(34.31522271800003, -118.48554757299996)"
SAN FERNANDO VALLEY CMHC-AB34,91411,2,SA 2 San Fernando Valley,OUTPATIENT,"CRISIS INTERVENTION, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, HEBREW, SPANISH",NGA,(818) 785-0103,"14658 OXNARD ST.
VAN NUYS, California 91411
(34.17935810700004, -118.45219423499998)"
PACIFICA HOSPITAL OF THE VALLEY,91352,2,SA 2 San Fernando Valley,INPATIENT,24 HR ACUTE,ADULT,ENGLISH,FFS,(818) 767-3310,"9449 SAN FERNANDO RD.
SUN VALLEY, California 91352
(34.24086827700006, -118.39541954699996)"
STIRLING BEHAVIORAL HEALTH INSTITUTE,91361,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SCHOOL-BASED SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, FARSI, SPANISH",NGA,(818) 991-1063,"31824 VILLAGE CENTER RD.
WESTLAKE VILLAGE, California 91361
(34.14668407400006, -118.81409338999998)"
NORTHEAST WELLNESS CENTER,90042,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT, FULL SERVICE PARTNERSHIP, LIFE SUPPORT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, WELLNESS CENTER",ADULT,"BURMESE, CANTONESE, ENGLISH, MANDARIN, SPANISH, TAGALOG, TAIWANESE",DMH,(323) 341-5100,"5564 NORTH FIGUEROA ST.
LOS ANGELES, California 90042
(34.10881562800006, -118.19431756299997)"
OCEAN PARK-OPCC-DAY BREAK SHELTER,90404,5,SA 5 West,COMMUNITY OUTREACH,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SOCIALIZATION, SUPPORTIVE HOUSING",ADULT,"ENGLISH, MANDARIN, FARSI, SPANISH",NGA,(310) 450-0650,"1751 CLOVERFIELD BLVD.
SANTA MONICA, California 90404
(34.02572228200006, -118.47062898099995)"
PROJECT 50 MENTAL HEALTH CLINIC,90013,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/OLDER ADULT,"ENGLISH, KOREAN, SPANISH, VIETNAMESE",DMH,(213) 622-2326,"114 EAST 5TH ST.
LOS ANGELES, California 90013
(34.04641689400006, -118.24814341899997)"
HOLLYGROVE,90038,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"ARABIC, ENGLISH, HEBREW, IIOCANO, KOREAN, POLISH, SPANISH, TAGALOG, URDU",NGA,(323) 446-2119,"815 NORTH EL CENTRO AVE.
LOS ANGELES, California 90038
(34.08575040300008, -118.32447240299996)"
EXODUS RECOVERY INC. WESTSIDE,90232,5,SA 5 West,OUTPATIENT,"CRISIS STABILIZATION, SPECIALIZED FOSTER CARE",ADULT,"BULGARIAN, CANTONESE, CZECH, ENGLISH, FARSI, FOKIENESE, FRENCH, GERMAN, HINDI, HUNGARIAN, ILONGOT, JAPANESE, ROMANIAN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",NGA,310-253-9494,"3828 HUGHES AVE.
CULVER CITY, California 90232
(34.02244980200004, -118.39809514499996)"
COUNSELING WHITE MEMORIAL MEDICAL CENTER,90033,4,SA 4 Metro,INPATIENT,24 HR ACUTE,ADULT,"ENGLISH, SPANISH",NGA,(323) 268-5000,"1720 CESAR E. CHAVEZ AVE
LOS ANGELES, California 90033
(34.05085470100005, -118.21691150499998)"
STEP UP ON SECOND STREET-ADULT FCCS-TAY FSP,90401,5,SA 5 West,OUTPATIENT,"CLIENT RUN CENTER, COMMUNITY OUTREACH, FULL SERVICE PARTNERSHIP, HOMELESS MENTAL HEALTH SUPPORTS, MEDICATION SUPPORT AND MENTAL HEALTH SERVICES,  MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/TAY,"ARMENIAN, DUTCH, ENGLISH, GERMAN, RUSSIAN, SPANISH",NGA,(310) 392-9474,"1328 SECOND ST.
SANTA MONICA, California 90401
(34.015577593000046, -118.49792884199996)"
RESIDENTIAL AND BRIDGING SVCS,90031,4,SA 4 Metro,RESIDENTIAL,"CASE MANAGEMENT, MENTAL HEALTH SERVICES",ADULT,"ARMENIAN, CANTONESE, FRENCH, KOREAN, SPANISH, TAIWANESE, VIETNAMESE",DMH,(323) 226-4800,"1925 NORTH DALY ST. 2ND FL.
LOS ANGELES, California 90031
(34.06674005800005, -118.21552300499997)"
HILLVIEW MHC ADULT RESIDENTIAL,91331,2,SA 2 San Fernando Valley,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ARMENIAN, ENGLISH, FARSI, MANDARIN, ROMANIAN, RUSSIAN, SPANISH",NGA,(818) 896-1161 ext. 401,"12408 VAN NUYS BLVD BUILDING C
PACOIMA, California 91331
(34.279407494000054, -118.40381276699998)"
WESTSIDE CENTER FOR INDEPENDENT LIVING (WCIL) INC.,90066,5,SA 5 West,COMMUNITY OUTREACH,CASE MANAGEMENT,ADULT,"ENGLISH, GERMAN, SPANISH",NGA,(310) 390-3611,"12901 VENICE BLVD.
LOS ANGELES, California 90066
(33.99979594100006, -118.44153155999999)"
DMHC-PREVENTION AND EARLY INTERVENTION (PEI) PROGRAM,90014,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, KOREAN, MANDARIN, SPANISH",DMH,(213) 680-6300,"224 E.6TH ST.
LOS ANGELES, California 90014
(34.04407582700003, -118.24818443299995)"
AVIVA FAMILY AND CHILDREN'S SERVICES,90010,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES, WRAPAROUND SERVICES",CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH, FARSI, FRENCH, KOREAN, SPANISH, SWATOWESE, TAGALOG",NGA,(213) 637-5000,"3580 WILSHIRE BLVD. # 800
LOS ANGELES, California 90010
(34.06170985500006, -118.30251560599999)"
SPECIALIZED FOSTER CARE-FIGUEROA,90003,6,SA 6 South,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",DMH,(323) 418-4200,"10421 SOUTH FIGUEROA ST.
LOS ANGELES, California 90003
(33.94166101900004, -118.28265263899999)"
COUNTYWIDE OLDER ADULT GENESIS FCCS,90020,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",OLDER ADULT,"CANTONESE, ENGLISH, GREEK, MANDARIN, SPANISH, YIDDISH",DMH,(213) 351-7284,"550 SOUTH VERMONT AVE. 6TH FL.
LOS ANGELES, California 90020
(34.06390083600007, -118.29160586899997)"
SPECIALIZED FOSTER CARE-METRO NORTH,90007,4,SA 4 Metro,OUTPATIENT,MENTAL HEALTH SERVICES,CHILD/TAY,"CANTONESE, ENGLISH, FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH",DMH,(213) 763-1537,"1933 SOUTH BROADWAY AVE. 6TH FL.
LOS ANGELES, California 90007
(34.02833395700003, -118.28507659499996)"
HILLSIDES OPTIMIST YHFS,90042,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,ENGLISH,NGA,(323) 254-2274,"6957 NORTH FIGUEROA ST.
LOS ANGELES, California 90042
(34.12836754600005, -118.18756864799997)"
TELECARE LOS ANGELES,90017,4,SA 4 Metro,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, HEBREW, RUSSIAN, SPANISH",NGA,(213) 482-6400,"600 ST. PAUL AVE. STE. 100
LOS ANGELES, California 90017
(34.05319383300008, -118.26103352799998)"
VIP COMMUNITY MENTAL HEALTH CENTER,90031,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CANTONESE, DUTCH, ENGLISH, FRENCH, GERMAN, ILOCANO,  ITALIAN, JAPANESE, KOREAN, MANDARIN, RUSSIAN,  SERBO-CROATIAN,  SPANISH,  TAGALOG",NGA,(323) 221-4134,"1721 GRIFFIN AVE.
LOS ANGELES, California 90031
(34.063308893000055, -118.21144708499997)"
UCLA NEUROPSYCHIATRIC INSTITUTE (NPI) & HOSPITAL,90024,5,SA 5 West,INPATIENT,24 HR ACUTE,ADULT/CHILD/TAY,"ENGLISH, SPANISH",FFS,(310) 794-7172,"750 WESTWOOD PLAZA
LOS ANGELES, California 90024
(34.066386127000044, -118.44519806399995)"
STEP UP ON SECOND STREET-ADULT FCCS-TAY FSP,90405,5,SA 5 West,OUTPATIENT,"ADULT-FIELD CAPABLE CLINICAL SERVICES, COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES,  SPECIALIZED FOSTER CARETAY- FULL SERVICE PARTNERSHIP",ADULT/TAY,"ARMENIAN, DUTCH, ENGLISH, GERMAN, RUSSIAN, SPANISH",NGA,(310) 392-9474,"3435 OCEAN PARK BLVD. STE. 207
SANTA MONICA, California 90405
(34.02281734300004, -118.44922239099998)"
ST. ANNE'S,90026,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ARMENIAN, ENGLISH, FRENCH, MANDARIN, SPANISH, SWEDISH, TOISAN",NGA,(213) 381-2931,"155 NORTH OCCIDENTAL BLVD.
LOS ANGELES, California 90026
(34.072026727000036, -118.27864615499999)"
EXODUS RECOVERY URGENT CARE CENTER-EASTSIDE,90033,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT,"CANTONESE, ENGLISH, FARSI, IBO, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, RUSSIAN, SPANISH, TAGALOG,   UKRANIAN,  VIETNAMESE,  YORUBA",NGA,(310) 276-6400,"1920 MARENGO ST.
LOS ANGELES, California 90033
(34.05758517900006, -118.20967056599994)"
